dimension,segmento,avg_treated,avg_control,efecto_hte,n_treated,n_control,pval,significativo
Volumen historial,Medio (136–398),2.9786036036036037,2.9430894386847437,0.03551416491885995,37,104,0.00902883405600486,True
Volumen historial,Cold-start (≤136),2.990666666666667,2.965079365079365,0.025587301587301603,25,42,0.5995708831847829,False
Volumen historial,Historial rico (>398),2.9978235294117646,2.9333320236313005,0.06449150578046403,50,117,1.066319928613182e-06,True
Tipo de comprador,Generalista,2.9897853736089033,2.9413686552950153,0.04841671831388794,111,259,6.930730409804436e-08,True
Categoría top,ABIS_BOOK,2.9925287356321837,2.93815209826723,0.054376637364953684,29,64,0.002493646925672699,True
Categoría top,NAN,3.0,2.950982462877624,0.049017537122376,22,62,0.003780419701413488,True
Categoría top,GIFT_CARD,3.0,2.9807692307692313,0.01923076923076872,4,13,0.3484593139704918,False
Categoría top,NUTRITIONAL_SUPPLEMENT,3.0,2.9516666666666667,0.04833333333333334,3,10,0.2551927422934427,False
Categoría top,PET_FOOD,3.0,2.9700280112044815,0.029971988795518545,12,17,0.08269136268639028,False
Categoría top,SHIRT,3.0,2.9916666666666667,0.008333333333333304,3,6,0.6373518882339371,False
Categoría top,ELECTRONIC_CABLE,2.8958333333333335,2.9735294117647064,-0.07769607843137294,6,6,0.7750292601639038,False
