score_decile,n,hits,hit_rate,mean_score
D1,8753,4,0.0004569861761681709,0.04143923885740853
D2,8753,10,0.0011424654404204272,0.05820132533189333
D3,8752,24,0.002742230347349177,0.06827422043185209
D4,8753,76,0.008682737347195248,0.07898411422513718
D5,8752,168,0.019195612431444242,0.09311774769155999
D6,8753,241,0.0275334171141323,0.10746421106324958
D7,8752,443,0.05061700182815357,0.12445140117759952
D8,8753,671,0.07665943105221067,0.15617041411540766
D9,8752,1433,0.16373400365630714,0.22296744570414234
D10,8753,2676,0.30572375185650635,0.4151945830765768
